2022-09-12 21:09:600 INFO  HomePage :35 - Clicking on Login Link : [[ChromeDriver: chrome on WINDOWS (fd0e31132e5f387d1cda44db5651ee2b)] -> link text: Log in]
2022-09-12 21:09:158 INFO  ManageDriver :31 - Launching Chrome Browser
2022-09-12 21:09:568 INFO  HomePage :35 - Clicking on Login Link : [[ChromeDriver: chrome on WINDOWS (bfc7ea4ea892cf82a87719ee0d99f607)] -> link text: Log in]
2022-09-12 21:09:435 INFO  ManageDriver :31 - Launching Chrome Browser
2022-09-12 21:09:94 INFO  HomePage :35 - Clicking on Login Link : [[ChromeDriver: chrome on WINDOWS (2710304ef26bd45c9000be5727c8f100)] -> link text: Log in]
2022-09-12 21:09:134 INFO  ManageDriver :31 - Launching Chrome Browser
2022-09-12 21:09:580 INFO  HomePage :43 - Clicking on Login Link : [[ChromeDriver: chrome on WINDOWS (4c72633563027b313802dd06f7aface1)] -> link text: Log in]
2022-09-12 22:09:553 INFO  ManageDriver :31 - Launching Chrome Browser
2022-09-12 22:09:775 INFO  HomePage :43 - Clicking on Login Link : [[ChromeDriver: chrome on WINDOWS (08cf6397e81dd63f2ed0d6aa60775247)] -> link text: Log in]
2022-09-12 22:09:381 INFO  ManageDriver :31 - Launching Chrome Browser
2022-09-12 22:09:294 INFO  HomePage :43 - Clicking on Login Link : [[ChromeDriver: chrome on WINDOWS (41c1b27ba1fdc3c0da52cd4c6633de47)] -> link text: Log in]
2022-09-12 22:09:856 INFO  ManageDriver :31 - Launching Chrome Browser
2022-09-12 22:09:581 INFO  HomePage :43 - Clicking on Login Link : [[ChromeDriver: chrome on WINDOWS (173b229a5115479f43d1fcd9c5135f78)] -> link text: Log in]
2022-09-12 22:09:576 INFO  ManageDriver :31 - Launching Chrome Browser
2022-09-12 22:09:425 INFO  HomePage :43 - Clicking on Login Link : [[ChromeDriver: chrome on WINDOWS (ae0d2677d3108a60a45b112fc4a14838)] -> link text: Log in]
2022-09-12 22:09:944 INFO  ManageDriver :31 - Launching Chrome Browser
2022-09-12 22:09:567 INFO  HomePage :43 - Clicking on Login Link : [[ChromeDriver: chrome on WINDOWS (a515bcbebd9fac2085faefa8ddc918a3)] -> link text: Log in]
2022-09-12 22:09:199 INFO  ManageDriver :31 - Launching Chrome Browser
2022-09-12 22:09:680 INFO  HomePage :43 - Clicking on Login Link : [[ChromeDriver: chrome on WINDOWS (78bc56e32ffa6f5d666b8ecf635528c9)] -> link text: Log in]
2022-09-12 22:09:529 INFO  ManageDriver :31 - Launching Chrome Browser
2022-09-12 22:09:411 INFO  HomePage :43 - Clicking on Login Link : [[ChromeDriver: chrome on WINDOWS (37f3b70c8951e4940a27258c0dfe1fea)] -> link text: Log in]
2022-09-12 22:09:425 INFO  ManageDriver :31 - Launching Chrome Browser
2022-09-12 22:09:431 INFO  HomePage :43 - Clicking on Login Link : [[ChromeDriver: chrome on WINDOWS (7caed60ee06bed5fbc8fd084347e77a0)] -> link text: Log in]
2022-09-12 22:09:701 INFO  ManageDriver :31 - Launching Chrome Browser
2022-09-12 22:09:854 INFO  HomePage :43 - Clicking on Login Link : [[ChromeDriver: chrome on WINDOWS (5c811e691bf8d0741d600981a1e0ae82)] -> link text: Log in]
2022-09-12 22:09:910 INFO  LoginPage :77 - Getting text from : [[ChromeDriver: chrome on WINDOWS (5c811e691bf8d0741d600981a1e0ae82)] -> xpath: //div[@class='page-title']/h1]
2022-09-12 22:09:940 INFO  ManageDriver :31 - Launching Chrome Browser
2022-09-12 22:09:134 INFO  HomePage :43 - Clicking on Login Link : [[ChromeDriver: chrome on WINDOWS (0e86bf40c834b5faf8b9032b2501b843)] -> link text: Log in]
2022-09-12 22:09:673 INFO  ManageDriver :31 - Launching Chrome Browser
2022-09-12 22:09:948 INFO  HomePage :43 - Clicking on Login Link : [[ChromeDriver: chrome on WINDOWS (357d2e4a768aff9b268497383da6bcdc)] -> link text: Log in]
2022-09-12 22:09:782 INFO  ManageDriver :31 - Launching Chrome Browser
2022-09-12 22:09:54 INFO  HomePage :43 - Clicking on Login Link : [[ChromeDriver: chrome on WINDOWS (700f4cbc2c7a4a693db288a1aca543a7)] -> link text: Log in]
2022-09-12 22:09:647 INFO  ManageDriver :31 - Launching Chrome Browser
2022-09-12 22:09:18 INFO  ManageDriver :31 - Launching Chrome Browser
2022-09-12 23:09:891 INFO  ManageDriver :31 - Launching Chrome Browser
2022-09-12 23:09:728 INFO  HomePage :43 - Clicking on Login Link : [[ChromeDriver: chrome on WINDOWS (91283c679d0d19c6741544e9cf1107f1)] -> link text: Log in]
2022-09-12 23:09:648 INFO  ManageDriver :31 - Launching Chrome Browser
2022-09-12 23:09:638 INFO  HomePage :43 - Clicking on Login Link : [[ChromeDriver: chrome on WINDOWS (b9e3063e22c3549b6ce3bf2f84a108e2)] -> link text: Log in]
2022-09-12 23:09:694 INFO  LoginPage :77 - Getting text from : [[ChromeDriver: chrome on WINDOWS (b9e3063e22c3549b6ce3bf2f84a108e2)] -> xpath: //div[@class='page-title']/h1]
2022-09-12 23:09:781 INFO  ManageDriver :31 - Launching Chrome Browser
2022-09-12 23:09:699 INFO  HomePage :43 - Clicking on Login Link : [[ChromeDriver: chrome on WINDOWS (8b6150675f3f1322e4ed7ba13045b813)] -> link text: Log in]
2022-09-13 18:09:729 INFO  ManageDriver :31 - Launching Chrome Browser
2022-09-13 18:09:772 INFO  HomePage :43 - Clicking on Login Link : [[ChromeDriver: chrome on WINDOWS (d5172003c7077b71ac612eed0aee2a52)] -> link text: Log in]
2022-09-13 18:09:809 INFO  LoginPage :77 - Getting text from : [[ChromeDriver: chrome on WINDOWS (d5172003c7077b71ac612eed0aee2a52)] -> xpath: //div[@class='page-title']/h1]
2022-09-13 18:09:819 INFO  ManageDriver :31 - Launching Chrome Browser
2022-09-13 18:09:421 INFO  HomePage :43 - Clicking on Login Link : [[ChromeDriver: chrome on WINDOWS (21ada5791b94575d65aa11cb36faab09)] -> link text: Log in]
2022-09-13 18:09:913 INFO  ManageDriver :31 - Launching Chrome Browser
2022-09-13 18:09:202 INFO  HomePage :43 - Clicking on Login Link : [[ChromeDriver: chrome on WINDOWS (b9793f1c598669e1debdd8060c931426)] -> link text: Log in]
2022-09-13 18:09:249 INFO  LoginPage :77 - Getting text from : [[ChromeDriver: chrome on WINDOWS (b9793f1c598669e1debdd8060c931426)] -> xpath: //div[@class='page-title']/h1]
2022-09-13 18:09:416 INFO  ManageDriver :31 - Launching Chrome Browser
2022-09-13 18:09:680 INFO  HomePage :43 - Clicking on Login Link : [[ChromeDriver: chrome on WINDOWS (aeab631454bf8f448429fd303f774ef7)] -> link text: Log in]
2022-09-13 18:09:234 INFO  ManageDriver :31 - Launching Chrome Browser
2022-09-13 18:09:845 INFO  HomePage :43 - Clicking on Login Link : [[ChromeDriver: chrome on WINDOWS (a283b618e00b1140a3a7b3ea6a36e382)] -> link text: Log in]
2022-09-13 18:09:171 INFO  ManageDriver :31 - Launching Chrome Browser
2022-09-13 18:09:357 INFO  HomePage :43 - Clicking on Login Link : [[ChromeDriver: chrome on WINDOWS (e9f736a3e7b5b0bca20f22c6f4fceb9b)] -> link text: Log in]
2022-09-13 19:09:335 INFO  ManageDriver :31 - Launching Chrome Browser
2022-09-13 19:09:373 INFO  HomePage :43 - Clicking on Login Link : [[ChromeDriver: chrome on WINDOWS (9a408197422308f57ea4591260f92af1)] -> link text: Log in]
2022-09-13 19:09:92 INFO  ManageDriver :31 - Launching Chrome Browser
2022-09-13 19:09:579 INFO  HomePage :43 - Clicking on Login Link : [[ChromeDriver: chrome on WINDOWS (de9fbe909bc1181682fbc75f95ec57a1)] -> link text: Log in]
2022-09-13 19:09:290 INFO  ManageDriver :31 - Launching Chrome Browser
